key,name,plural,description
black_body,black body,black bodies,"an idealized physical body that absorbs all incident electromagnetic radiation, regardless of frequency or angle of incidence"
conduction,conduction,conduction's,a transfer of heat by microscopic collisions of particles and movement of electrons within a body
convection,convection,convection's,"a heat transfer due to bulk movement of molecules within fluids such as gases and liquids. Convection takes place through advection, diffusion or both"
cooling_load,cooling load,cooling loads,a rate at which sensible and latent heat must be removed from the space to maintain a constant space dry-bulb air temperature and humidity
edge,edge,edges,"one of the two basic units out of which graphs are constructed. Each edge has two (or in hypergraphs, more) vertices to which it is attached, called its endpoints. Edges may be directed or undirected"
graph,graph,graphs,"a mathematical structure used to model pairwise relations between objects. A graph in this context is made up of vertices, nodes, or points which are connected by edges, arcs, or lines"
heating_load,heating load,heating loads,a rate at which sensible and latent heat must be added to the space to maintain a constant space dry-bulb air temperature and humidity
latent_heat,latent heat,latent heats,thermal energy released or absorbed by a body
MTIpython,MTIpython,MTIpython’s,"a Python package, used within IHC, to solve engineering problems in the disciplines: fluids, thermodynamics, mechanical and electrical"
node,node,nodes,fundamental unit of which graphs are formed
Python,Python,Pythons,an interpreted high-level programming language for general-purpose programming
radiation,radiation,radiations,an electromagnetic radiation generated by the thermal motion of charged particles in matter. All matter with a temperature greater than absolute zero emits thermal radiation
refrigerant,refrigerant,refrigerants,"a substance or mixture, used in heat pumps to transport heat energy"
Sankey_diagram,Sankey diagram,Sankey diagrams,"a specific type of flow diagram, in which the width of the arrows is shown proportionally to the flow quantity"
solvent,solvent,solvents,"a substance that dissolves a solute, such as a chemically distinct liquid, solid or gas, resulting in a solution"
tooltip,tooltip,tooltips,"a popup window, containing additional information. It appears when a mouse pointer hoovers over a designated area"
